;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size;threshold
0;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.05
2;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.1
3;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.15000000000000002
4;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.2
5;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.25
6;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.30000000000000004
7;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.35000000000000003
8;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.4
9;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.45
10;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.5
11;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.55
12;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.6000000000000001
13;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.65
14;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.7000000000000001
15;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.75
16;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.8
17;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.8500000000000001
18;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.9
19;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.9500000000000001
20;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;1.0
21;0.125;0.1;0.16666666666666666;0.13333333333333333;0.1;0.2;(9, 2);40;0.0
22;0.125;0.1;0.16666666666666666;0.13333333333333333;0.1;0.2;(9, 2);40;0.05
23;0.125;0.1;0.16666666666666666;0.13333333333333333;0.1;0.2;(9, 2);40;0.1
24;0.125;0.1;0.16666666666666666;0.14285714285714288;0.1;0.25;(9, 2);40;0.15000000000000002
25;0.125;0.1;0.16666666666666666;0.14285714285714288;0.1;0.25;(9, 2);40;0.2
26;0.125;0.1;0.16666666666666666;0.15384615384615383;0.1;0.3333333333333333;(9, 2);40;0.25
27;0.13333333333333333;0.1;0.2;0.16666666666666669;0.1;0.5;(9, 2);40;0.30000000000000004
28;0.14285714285714288;0.1;0.25;0.16666666666666669;0.1;0.5;(9, 2);40;0.35000000000000003
29;0.14285714285714288;0.1;0.25;0.0;0.0;0.0;(9, 2);40;0.4
30;0.14285714285714288;0.1;0.25;0.0;0.0;0.0;(9, 2);40;0.45
31;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.5
32;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.55
33;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.6000000000000001
34;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.65
35;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.7000000000000001
36;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.75
37;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.8
38;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.8500000000000001
39;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.9
40;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.9500000000000001
41;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;1.0
42;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.0
43;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.05
44;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.1
45;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.15000000000000002
46;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.2
47;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.25
48;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.30000000000000004
49;0.0;0.0;0.0;0.0;0.0;0.0;(9, 2);40;0.35000000000000003
