;F_cens;P_cens;R_cens;F_mfcc;P_mfcc;R_mfcc;param;kernel_size
0;0.15873015873015872;0.08771929824561403;0.8333333333333334;0.13333333333333336;0.07692307692307693;0.5;(9, 2);20
1;0.20512820512820512;0.12121212121212122;0.6666666666666666;0.3333333333333333;0.25;0.5;(9, 4);20
2;0.24242424242424243;0.14814814814814814;0.6666666666666666;0.26666666666666666;0.2222222222222222;0.3333333333333333;(21, 5);20
3;0.3888888888888889;0.2692307692307692;0.7;0.4615384615384615;0.3103448275862069;0.9;(9, 2);20
4;0.48;0.4;0.6;0.5217391304347826;0.46153846153846156;0.6;(9, 4);20
5;0.6363636363636365;0.5833333333333334;0.7;0.5263157894736842;0.5555555555555556;0.5;(21, 5);20
6;0.16129032258064516;0.08771929824561403;1.0;0.38095238095238093;0.25;0.8;(9, 2);20
7;0.16666666666666666;0.0967741935483871;0.6;0.5000000000000001;0.36363636363636365;0.8;(9, 4);20
8;0.32000000000000006;0.2;0.8;0.5714285714285714;0.4444444444444444;0.8;(21, 5);20
9;0.14925373134328357;0.08196721311475409;0.8333333333333334;0.37037037037037035;0.23809523809523808;0.8333333333333334;(9, 2);20
10;0.25641025641025644;0.15151515151515152;0.8333333333333334;0.3529411764705882;0.2727272727272727;0.5;(9, 4);20
11;0.25;0.15384615384615385;0.6666666666666666;0.4;0.3333333333333333;0.5;(21, 5);20
12;0.16666666666666669;0.1;0.5;0.1935483870967742;0.12;0.5;(9, 2);20
13;0.1739130434782609;0.11764705882352941;0.3333333333333333;0.28571428571428575;0.25;0.3333333333333333;(9, 4);20
14;0.2608695652173913;0.17647058823529413;0.5;0.25;0.2;0.3333333333333333;(21, 5);20
15;0.09523809523809525;0.050505050505050504;0.8333333333333334;0.06122448979591836;0.03260869565217391;0.5;(9, 2);20
16;0.11940298507462688;0.06557377049180328;0.6666666666666666;0.06451612903225806;0.03571428571428571;0.3333333333333333;(9, 4);20
17;0.13793103448275862;0.07692307692307693;0.6666666666666666;0.1509433962264151;0.0851063829787234;0.6666666666666666;(21, 5);20
18;0.29126213592233013;0.17647058823529413;0.8333333333333334;0.37777777777777777;0.2361111111111111;0.9444444444444444;(9, 2);20
19;0.42105263157894735;0.27586206896551724;0.8888888888888888;0.3333333333333333;0.2916666666666667;0.3888888888888889;(9, 4);20
20;0.3793103448275862;0.275;0.6111111111111112;0.41379310344827586;0.5454545454545454;0.3333333333333333;(21, 5);20
21;0.17910447761194032;0.1016949152542373;0.75;0.26923076923076916;0.1590909090909091;0.875;(9, 2);20
22;0.25;0.15625;0.625;0.2564102564102564;0.16129032258064516;0.625;(9, 4);20
23;0.125;0.08333333333333333;0.25;0.4516129032258065;0.30434782608695654;0.875;(21, 5);20
24;0.06451612903225806;0.033707865168539325;0.75;0.08695652173913043;0.046153846153846156;0.75;(9, 2);20
25;0.0425531914893617;0.023255813953488372;0.25;0.04878048780487805;0.02702702702702703;0.25;(9, 4);20
26;0.09090909090909091;0.05;0.5;0.24;0.14285714285714285;0.75;(21, 5);20
27;0.2476190476190476;0.14606741573033707;0.8125;0.2891566265060241;0.1791044776119403;0.75;(9, 2);20
28;0.11594202898550725;0.07547169811320754;0.25;0.3278688524590164;0.2222222222222222;0.625;(9, 4);20
29;0.1639344262295082;0.1111111111111111;0.3125;0.44000000000000006;0.3235294117647059;0.6875;(21, 5);20
30;0.1515151515151515;0.08196721311475409;1.0;0.3636363636363636;0.23529411764705882;0.8;(9, 2);20
31;0.21739130434782605;0.12195121951219512;1.0;0.23529411764705882;0.16666666666666666;0.4;(9, 4);20
32;0.15;0.08571428571428572;0.6;0.12500000000000003;0.09090909090909091;0.2;(21, 5);20
33;0.19607843137254902;0.10989010989010989;0.9090909090909091;0.27586206896551724;0.1702127659574468;0.7272727272727273;(9, 2);20
34;0.18181818181818182;0.11363636363636363;0.45454545454545453;0.28571428571428575;0.20833333333333334;0.45454545454545453;(9, 4);20
35;0.1951219512195122;0.13333333333333333;0.36363636363636365;0.18749999999999997;0.14285714285714285;0.2727272727272727;(21, 5);20
36;0.1714285714285714;0.0967741935483871;0.75;0.23333333333333334;0.1346153846153846;0.875;(9, 2);20
37;0.2181818181818182;0.1276595744680851;0.75;0.2105263157894737;0.13333333333333333;0.5;(9, 4);20
38;0.2978723404255319;0.1794871794871795;0.875;0.19999999999999998;0.13636363636363635;0.375;(21, 5);20
39;0.15789473684210528;0.08571428571428572;1.0;0.1875;0.10344827586206896;1.0;(9, 2);20
40;0.2608695652173913;0.15;1.0;0.2;0.11764705882352941;0.6666666666666666;(9, 4);20
41;0.1111111111111111;0.06666666666666667;0.3333333333333333;0.36363636363636365;0.25;0.6666666666666666;(21, 5);20
42;0.16666666666666666;0.09302325581395349;0.8;0.375;0.23684210526315788;0.9;(9, 2);20
43;0.22580645161290322;0.1346153846153846;0.7;0.4444444444444445;0.35294117647058826;0.6;(9, 4);20
44;0.20833333333333334;0.13157894736842105;0.5;0.48;0.4;0.6;(21, 5);20
45;0.20512820512820512;0.11428571428571428;1.0;0.25;0.14285714285714285;1.0;(9, 2);20
46;0.3076923076923077;0.18181818181818182;1.0;0.6153846153846153;0.4444444444444444;1.0;(9, 4);20
47;0.2;0.125;0.5;0.6153846153846153;0.4444444444444444;1.0;(21, 5);20
48;0.2777777777777778;0.16666666666666666;0.8333333333333334;0.4;0.2857142857142857;0.6666666666666666;(9, 2);20
49;0.23076923076923075;0.15;0.5;0.4;0.3333333333333333;0.5;(9, 4);20
50;0.2727272727272727;0.1875;0.5;0.42857142857142855;0.375;0.5;(21, 5);20
51;0.16184971098265893;0.09032258064516129;0.7777777777777778;0.2;0.11607142857142858;0.7222222222222222;(9, 2);20
52;0.22000000000000003;0.13414634146341464;0.6111111111111112;0.25;0.15384615384615385;0.6666666666666666;(9, 4);20
53;0.26666666666666666;0.16666666666666666;0.6666666666666666;0.2535211267605634;0.16981132075471697;0.5;(21, 5);20
54;0.32258064516129037;0.19230769230769232;1.0;0.25;0.16326530612244897;0.5333333333333333;(9, 2);20
55;0.2857142857142857;0.1951219512195122;0.5333333333333333;0.3;0.2;0.6;(9, 4);20
56;0.4;0.3;0.6;0.3555555555555555;0.26666666666666666;0.5333333333333333;(21, 5);20
57;0.24242424242424243;0.14814814814814814;0.6666666666666666;0.33333333333333337;0.20833333333333334;0.8333333333333334;(9, 2);20
