region_start;region_end;label;instrument
0.0;0.348299319;silence;
0.348299319;26.006349206;intro;p,tb,tp,as,dr,b
26.006349206;64.272834467;theme_01_01;tb,tp,as,dr,p,b
64.272834467;104.29387755100001;theme_01_02;tb,tp,as,p,b,dr
104.29387755100001;143.499319727;solo_01_01;s_as,b_p,b_b,b_dr
143.499319727;182.717823129;solo_02_01;s_tb,b_p,b_b,b_dr
182.717823129;222.56326530599998;solo_03_01;s_tp,b_p,b_b,b_dr
222.56326530599998;261.34058956900003;solo_04_01;s_p,b_b,b_dr
261.34058956900003;301.395011337;theme_02_01;tp,as,tb,p,b,dr
301.395011337;326.31002267400004;outro;p,tp,tb,as,b,dr
326.31002267400004;330.48;silence;
