region_start;region_end;label;instrument
0.0;0.371519274;silence;
0.371519274;14.889795917999999;intro;cl,b,dr
14.889795917999999;60.669387755;theme_01_01;cl,b,dr
60.669387755;96.848979591;solo_01_01;s_cl,b_b,b_dr
96.848979591;132.310204081;solo_01_02;s_cl,b_b,b_dr
132.310204081;166.661224489;solo_01_03;s_cl,b_b,b_dr
166.661224489;201.40408163200001;solo_01_04;s_cl,b_b,b_dr
201.40408163200001;235.036734693;solo_02_01;s_b,b_dr
235.036734693;266.775510204;solo_02_02;s_b,b_dr
266.775510204;301.779591836;solo_03_01;s_cl,s_dr,b_b
301.779591836;334.628571428;solo_03_02;s_cl,s_dr,b_b
334.628571428;368.130612244;theme_02_01;cl,b,dr
368.130612244;391.640816325;outro;cl,b,dr
391.640816325;396.33333333333326;silence;
