segment_start;segment_end;label;instrument
0.0;0.653061224;silence;
0.653061224;12.01632653;intro;as,p,b,dr
12.01632653;27.624489795;theme_01_01;as,p,b,dr
27.624489795;42.906122448000005;theme_01_02;as,p,b,dr
42.906122448000005;58.122448979;solo_01_01;s_as,b_p,b_b,b_dr
58.122448979;73.142857142;solo_01_02;s_as,b_p,b_b,b_dr
73.142857142;87.70612244799999;solo_01_03;s_as,b_p,b_b,b_dr
87.70612244799999;102.008163265;solo_01_04;s_as,b_p,b_b,b_dr
102.008163265;116.636734693;solo_01_05;s_as,b_p,b_b,b_dr
116.636734693;131.2;solo_01_06;s_as,b_p,b_b,b_dr
131.2;145.436734693;solo_01_07;s_as,b_p,b_b,b_dr
145.436734693;159.869387755;solo_01_08;s_as,b_p,b_b,b_dr
159.869387755;174.17142857099998;solo_01_09;s_as,b_p,b_b,b_dr
174.17142857099998;188.27755102;solo_01_10;s_as,b_p,b_b,b_dr
188.27755102;202.906122448;solo_01_11;s_as,b_p,b_b,b_dr
202.906122448;217.208163265;solo_02_01;s_p,b_b,b_dr
217.208163265;231.183673469;solo_02_02;s_p,b_b,b_dr
231.183673469;245.420408163;solo_02_03;s_p,b_b,b_dr
245.420408163;259.526530612;solo_02_04;s_p,b_b,b_dr
259.526530612;273.567346938;solo_03_01;s_b,b_p,b_dr
273.567346938;287.346938775;solo_03_02;s_b,b_p,b_dr
287.346938775;300.473469387;solo_03_03;s_b,b_p,b_dr
300.473469387;315.232653061;solo_04_01;s_as,b_p,b_b,b_dr
315.232653061;328.228571428;solo_04_02;s_dr
328.228571428;342.269387755;solo_04_03;s_p,b_b,b_dr
342.269387755;355.91836734599997;solo_04_04;s_dr
355.91836734599997;370.285714285;theme_02_01;as,p,b,dr
370.285714285;402.089795917;theme_02_02;as,p,b,dr
402.089795917;407.0;silence;
