segment_start;segment_end;label;instrument
0.0;0.325079365;silence;
0.325079365;12.817414965;intro;dr
12.817414965;62.600997731999996;theme_01_01;cl,b,dr
62.600997731999996;110.341224489;solo_01_01;s_cl,b_b,b_dr
110.341224489;156.223854875;solo_01_02;s_cl,b_b,b_dr
156.223854875;200.99192743700002;solo_01_03;s_cl,b_b,b_dr
200.99192743700002;245.812244897;solo_01_04;s_cl,b_b,b_dr
245.812244897;288.914285714;solo_02_01;s_b,b_dr
288.914285714;334.106122448;solo_02_02;s_b,b_dr
334.106122448;378.253061224;solo_03_01;s_cl,s_dr,b_b
378.253061224;421.61632653;solo_03_02;s_cl,s_dr,b_b
421.61632653;467.853061224;theme_02_01;cl,b,dr
467.853061224;511.999999999;outro;cl,b,dr
511.999999999;515.6666666666666;silence;
