segment_start;segment_end;label;instrument
0.0;0.55510204;silence;
0.55510204;14.497959182999999;intro;b,dr
14.497959182999999;69.110204081;theme_01_01;ts,b,dr
69.110204081;123.640816326;solo_01_01;s_p,b_b,b_dr
123.640816326;178.122448979;solo_01_02;s_p,b_b,b_dr
178.122448979;233.33877551;solo_02_01;s_ts,b_p,b_b,b_dr
233.33877551;286.791836734;solo_02_02;s_ts,b_p,b_b,b_dr
286.791836734;341.779591836;solo_02_03;s_ts,b_p,b_b,b_dr
341.779591836;400.130612244;theme_02_01;ts,b,dr
400.130612244;402.66666666666674;silence;
