region_start;region_end;label;instrument
0.0;0.522448979;silence;
0.522448979;25.469387755;intro;p
25.469387755;54.204081632;theme_01_01;p,b,dr
54.204081632;83.330612244;theme_01_02;p,b,dr
83.330612244;112.587755102;solo_01_01;s_p,b_b,b_dr
112.587755102;141.714285714;solo_01_02;s_p,b_b,b_dr
141.714285714;171.102040816;theme_02_01;ts,p,b,dr
171.102040816;199.83673469299998;theme_02_02;ts,p,b,dr
199.83673469299998;228.96326530599998;solo_02_01;s_ts,b_p,b_b,b_dr
228.96326530599998;259.265306122;solo_02_02;s_ts,b_p,b_b,b_dr
259.265306122;288.130612244;solo_03_01;s_p,b_b,b_dr
288.130612244;317.648979591;solo_03_02;s_p,b_b,b_dr
317.648979591;344.81632653;theme_03_01;ts,p,b,dr
344.81632653;382.563265305;theme_03_02;ts,p,b,dr
382.563265305;385.4;silence;
