segment_start;segment_end;label;instrument
0.0;0.557278911;silence;
0.557278911;9.009342403;intro;p,dr
9.009342403;40.007981859000004;theme_01_01;as,p,b,dr
40.007981859000004;70.797641723;solo_01_01;s_as,b_p,b_b,b_dr
70.797641723;101.70340136;solo_01_02;s_as,b_p,b_b,b_dr
101.70340136;132.77170068;solo_01_03;s_as,b_p,b_b,b_dr
132.77170068;163.236281179;solo_02_01;s_p,b_b,b_dr
163.236281179;193.747301587;solo_02_02;s_p,b_g,b_b,b_dr
193.747301587;224.002902494;solo_02_03;s_p,b_b,b_dr
224.002902494;254.444263038;solo_03_01;s_as,b_g,b_p,b_b,b_dr
254.444263038;284.514104308;solo_03_02;s_as,b_g,b_p,b_b,b_dr
284.514104308;314.189206349;solo_04_01;s_g,b_p,b_b,b_dr
314.189206349;344.677006802;solo_04_02;s_g,b_p,b_b,b_dr
344.677006802;386.821224489;theme_02_01;as,g,p,b,dr
386.821224489;392.77333333333326;silence;
