segment_start;segment_end;label;instrument
0.0;0.130612244;silence;
0.130612244;11.689795918;intro;cl,cor,tb,p,bs,dr
11.689795918;28.342857142;theme_01_01;cl,cor,tb,p,bs,dr
28.342857142;45.191836734;theme_01_02;cl,cor,tb,p,bs,dr
45.191836734;61.910204081;theme_01_03;cl,cor,tb,p,bs,dr
61.910204081;78.563265306;theme_01_04;cl,cor,tb,p,bs,dr
78.563265306;95.317913832;theme_01_05;cl,cor,tb,p,bs,dr
95.317913832;112.036281179;solo_01_01;s_cl,b_p,bs_b
112.036281179;128.290249433;solo_02_01;s_bs,b_p,b_dr
128.290249433;144.96217687;solo_03_01;s_tb,b_p,bs_b,b_dr
144.96217687;161.634104308;solo_04_01;s_cor,b_p,bs_b,b_dr
161.634104308;179.745668933;theme_02_01;cl,cor,tb,p,bs,dr
179.745668933;181.88;silence;
