region_start;region_end;label;instrument
0.0;0.743038548;silence;
0.743038548;65.758911564;theme_01_01;p,ts,b,dr
65.758911564;133.003900226;solo_01_01;s_p,b_b,b_dr
133.003900226;199.50585034;solo_01_02;s_p,b_b,b_dr
199.50585034;267.122358276;solo_01_03;s_p,b_b,b_dr
267.122358276;334.553106575;solo_01_04;s_p,b_b,b_dr
334.553106575;403.098412698;solo_02_01;s_ts,b_p,b_b,b_dr
403.098412698;470.34340136;solo_02_02;s_ts,b_p,b_b,b_dr
470.34340136;539.2602267569999;solo_02_03;s_ts,b_p,b_b,b_dr
539.2602267569999;605.576417233;solo_02_01;s_b,b_p,b_dr
605.576417233;672.264126984;solo_03_02;s_b,b_p,b_dr
672.264126984;777.218321995;theme_02_01;p,ts,b,dr
777.218321995;782.8124943310656;silence;
