segment_start;segment_end;label;instrument
0.0;0.391836734;silence;
0.391836734;25.534693877;intro;p,b,dr
25.534693877;50.612244897;theme_01_01;ts,p,b,dr
50.612244897;74.318367346;solo_01_01;s_p,b_b,b_dr
74.318367346;97.110204081;solo_01_02;s_p,b_b,b_dr
97.110204081;120.685714285;solo_01_03;s_p,b_b,b_dr
120.685714285;143.412244897;solo_01_04;s_p,b_b,b_dr
143.412244897;165.87755102;solo_01_05;s_p,s_ts,b_b,b_dr
165.87755102;189.518367346;solo_02_01;s_ts,b_p,b_b,b_dr
189.518367346;211.330612244;solo_02_02;s_ts,b_p,b_b,b_dr
211.330612244;233.012244897;solo_02_03;s_ts,b_p,b_b,b_dr
233.012244897;255.346938775;solo_02_04;s_ts,s_dr,b_p,b_b
255.346938775;278.465306122;solo_03_01;s_p,s_dr,b_b
278.465306122;300.8;solo_03_02;s_ts,s_dr,b_p,b_b
300.8;323.004081632;solo_03_03;s_p,s_dr,b_p,b_b
323.004081632;346.775510204;theme_02_01;ts,p,b,dr
346.775510204;377.469387755;theme_02_02;ts,p,b,dr
377.469387755;389.41333333333336;silence;
