segment_start;segment_end;label;instrument
0.0;0.371519274;silence;
0.371519274;15.23;intro;p,synth,dr
15.23;78.762086168;theme_01_01;ts,p,synth,dr
78.762086168;107.74;solo_01_01;s_ts,b_p,b_synth,b_dr
107.74;139.691247166;solo_01_02;s_ts,b_p,b_synth,b_dr
139.691247166;169.412789116;solo_01_03;s_ts,b_p,b_synth,b_dr
169.412789116;202.84952381;solo_01_04;s_ts,b_p,b_synth,b_dr
202.84952381;239.258412698;solo_01_05;s_ts,b_p,b_synth,b_dr
239.258412698;272.695147392;solo_01_06;s_ts,b_p,b_synth,b_dr
272.695147392;300.930612245;solo_01_07;s_ts,b_p,b_synth,b_dr
300.930612245;334.367346939;solo_02_01;s_dr
334.367346939;369.29015873;solo_02_02;s_dr
369.29015873;402.35537415;solo_02_03;s_dr
402.35537415;469.971882087;theme_02_01;ts,p,synth,dr
469.971882087;479.5866666666666;silence;
