segment_start;segment_end;label;instrument
0.0;1.110204081;silence;
1.110204081;13.387755102;intro;ts,p,b,dr
13.387755102;63.542857142;theme_01_01;ts,p,b,dr
63.542857142;111.869387755;solo_01_01;s_ts,b_p,b_b,b_dr
111.869387755;160.914285714;solo_01_02;s_ts,b_p,b_b,b_dr
160.914285714;207.020408163;solo_02_01;s_p,b_b,b_dr
207.020408163;253.714285714;solo_02_01;s_p,b_b,b_dr
253.714285714;298.579591836;solo_03_01;s_dr
298.579591836;348.995918367;theme_02_01;ts,p,b,dr
348.995918367;361.273469387;outro;ts,p,b,dr
361.273469387;368.2492290249433;silence;
