segment_start;segment_end;label;instrument
0.0;2.60063492;silence;
2.60063492;51.269659863;intro;b
51.269659863;89.907664399;theme_01_01;ts,b,dr
89.907664399;130.77478458;solo_01_01;s_ts,b_b,b_dr
130.77478458;172.38494331;solo_01_02;s_ts,b_b,b_dr
172.38494331;213.25206349200002;solo_01_03;s_ts,b_b,b_dr
213.25206349200002;254.11918367299998;solo_01_04;s_ts,b_b,b_dr
254.11918367299998;294.986303854;solo_01_05;s_ts,b_b,b_dr
294.986303854;336.596462585;solo_02_01;s_b,b_dr
336.596462585;375.977505668;solo_02_02;s_b,b_dr
375.977505668;378.24;silence;
