segment_start;segment_end;label;instrument
0.0;1.044897959;silence;
1.044897959;37.942857142;theme_01_01;ts,b,dr
37.942857142;75.16734693800001;solo_01_01;s_ts,b_b,b_dr
75.16734693800001;112.653061224;solo_01_02;s_ts,b_b,b_dr
112.653061224;148.375510204;solo_01_03;s_ts,b_b,b_dr
148.375510204;184.29387755099998;solo_01_04;s_ts,b_b,b_dr
184.29387755099998;220.146938775;solo_01_05;s_ts,b_b,b_dr
220.146938775;255.80408163200002;solo_01_06;s_ts,b_b,b_dr
255.80408163200002;290.546938775;solo_02_01;s_ts,s_dr,b_b
290.546938775;324.440816326;solo_02_02;s_dr,s_ts,b_b
324.440816326;360.373696145;solo_03_01;s_ts,b_b,b_dr
360.373696145;396.968344671;solo_03_02;s_ts,b_b,b_dr
396.968344671;422.231655328;outro;ts,b,dr
422.231655328;430.2;silence;
