region_start;region_end;label;instrument
0.0;19.202902494;silence;
19.202902494;59.164444444;intro;p
59.164444444;117.330430839;theme_01_01;as,tp,p,b,dr
117.330430839;177.07537414900003;solo_01_01;s_as,b_p,b_b,b_dr
177.07537414900003;240.53551020400002;solo_01_02;s_as,b_p,b_b,b_dr
240.53551020400002;300.768072562;solo_02_01;s_tp,b_p,b_b,b_dr
300.768072562;359.653877551;solo_02_02;s_tp,b_p,b_b,b_dr
359.653877551;419.329160997;solo_03_01;s_p,b_b,b_dr
419.329160997;477.611247165;solo_03_02;s_p,b_b,b_dr
477.611247165;537.820589569;solo_03_03;s_p,b_b,b_dr
537.820589569;597.611972789;solo_04_01;s_dr,s_b,s_p,b_b
597.611972789;667.039637188;theme_02_01;as,tp,p,b,dr
667.039637188;669.92;silence;
