segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;29.907301587;intro;tp,as,p,vib,dr
29.907301587;75.557732426;theme_01_01;as,tp,p,b,dr
75.557732426;120.813424036;solo_01_01;s_vib,b_p,b_b,b_dr
120.813424036;164.165079365;solo_01_02;s_vib,b_p,b_b,b_dr
164.165079365;210.163809523;solo_02_01;s_as,b_p,b_b,b_dr
210.163809523;253.236825396;solo_02_02;s_as,b_p,b_b,b_dr
253.236825396;299.026575963;solo_03_01;s_b,b_p,b_dr
299.026575963;343.86430839;solo_03_02;s_b,b_p,b_dr
343.86430839;388.678820861;theme_02_01;as,tp,p,b,dr
388.678820861;416.612426303;outro;as,tp,vib,p,b,dr
416.612426303;426.74666666666667;silence;
