segment_start;segment_end;label;instrument
0.0;0.232199546;silence;
0.232199546;8.498503401;intro;p,b,dr
8.498503401;33.436734693;theme_01_01;as,p,b,dr
33.436734693;57.771247165;solo_01_01;s_as,b_p,b_b,b_dr
57.771247165;82.198639455;solo_01_02;s_as,b_p,b_b,b_dr
82.198639455;106.34739229;solo_02_01;s_tp,b_p,b_b,b_dr
106.34739229;130.263945578;solo_02_02;s_tp,b_p,b_b,b_dr
130.263945578;154.134058956;solo_03_01;s_p,b_b,b_dr
154.134058956;178.004172335;solo_04_01;s_as,b_p,b_b,b_dr
178.004172335;203.731882085;theme_02_01;as,p,b,dr
203.731882085;206.8;silence;
