region_start;region_end;label;instrument
0.0;0.20897959100000002;silence;
0.20897959100000002;7.8947845789999995;intro;as,p,b,dr
7.89478458;37.453786846999996;theme_01_01;as,p,b,dr
37.337687074;73.74657596200001;theme_01_02;as,p,b,dr
73.9323356;102.167800452;solo_01_01;s_as,b_p,b_b,b_dr
102.167800453;138.390929704;solo_01_02;s_as,b_p,b_b,b_dr
138.576689342;166.997913831;solo_02_01;s_p,b_b,b_dr
166.997913832;200.434648525;theme_02_01;as,p,b,dr
200.99192743700002;207.121995464;outro;as,p,b,dr
207.121995464;209.96;silence;
