segment_start;segment_end;label;instrument
0.0;0.065306122;silence;
0.065306122;6.448979591;intro;tp
6.448979591;29.289795918;theme_01_01;tp,p,b,dr
29.289795918;52.228571428;theme_01_02;tp,p,b,dr
52.228571428;74.546938775;solo_01_01;s_voc,s_tp,b_p,b_b,b_dr
74.546938775;97.061224489;solo_01_02;s_voc,b_p,b_b,b_dr
97.061224489;119.771428571;solo_01_03;s_voc,s_tp,b_p,b_b,b_dr
119.771428571;143.428571428;solo_02_01;s_tp,b_p,b_b,b_dr
143.428571428;175.591836734;solo_03_01;s_voc,b_p,b_b,b_dr
175.591836734;177.52;silence;
