segment_start;segment_end;label;instrument
0.0;0.130612244;silence;
0.130612244;28.995918367;intro;ts
28.995918367;93.322448979;theme_01_01;ts,p,b,dr
93.322448979;166.987755102;theme_01_02;ts,p,b,dr
166.987755102;237.910204081;solo_01_01;s_p,b_b,b_dr
237.910204081;314.514285714;solo_01_02;s_p,b_b,b_dr
314.514285714;382.759183673;solo_02_01;s_ts,b_p,b_b,b_dr
382.759183673;421.159183673;solo_02_02;s_ts,b_p,b_b,b_dr
421.159183673;507.559183673;theme_02_01;ts,p,b,dr
507.559183673;549.7541950113379;silence;
