segment_start;segment_end;label;instrument
0.0;0.457142857;silence;
0.457142857;29.257142856999998;intro;ts,g,key,dr
29.257142856999998;88.35918367299999;theme_01_01;ts,g,key,dr
88.35918367299999;144.783673469;solo_01_01;s_g,b_key,b_dr
144.783673469;201.469387755;solo_01_02;s_g,b_key,b_dr
201.469387755;257.828571428;solo_01_03;s_g,s_ts,b_key,b_dr
257.828571428;315.559183673;solo_02_01;s_ts,b_g,b_key,b_dr
315.559183673;372.50612244800004;solo_02_01;s_ts,b_g,b_key,b_dr
372.50612244800004;427.8857142840001;theme_02_01;ts,g,key,dr
427.8857142840001;434.6993197278912;silence;
