segment_start;segment_end;label;instrument
0.0;0.457142857;silence;
0.457142857;61.648979591;intro;bcl,dr
61.648979591;124.865306122;theme_01_02;bcl,g,key,dr
124.865306122;192.457142857;solo_01_01;s_key,b_g,b_bcl,b_dr
192.457142857;268.146938775;solo_01_02;s_key,b_g,b_bcl,b_dr
268.146938775;335.804081632;solo_01_03;s_key,b_g,b_bcl,b_dr
335.804081632;406.334693877;solo_01_04;s_key,b_g,b_bcl,b_dr
406.334693877;468.506122448;solo_01_05;s_key,b_g,b_bcl,b_dr
468.506122448;524.669387755;solo_02_01;s_ts,b_key,b_g,b_dr
524.669387755;577.828571428;solo_02_02;s_ts,b_key,b_g,b_dr
577.828571428;629.681632653;solo_02_03;s_ts,b_key,b_g,b_dr
629.681632653;680.489795918;solo_02_04;s_ts,b_key,b_g,b_dr
680.489795918;734.824489795;theme_02_01;ts,g,key,dr
734.824489795;775.4266666666666;silence;
