segment_start;segment_end;label;instrument
0.0;1.114557823;silence;
1.114557823;37.918185941;theme_01_01;tp,ts,p,b,dr
37.918185941;70.008163265;solo_01_01;s_tp,b_p,b_b,b_dr
70.008163265;101.564081632;solo_01_02;s_tp,b_p,b_b,b_dr
101.564081632;132.516281179;solo_02_01;s_p,b_b,b_dr
132.516281179;162.725442176;solo_03_01;s_ts,b_p,b_b,b_dr
162.725442176;193.654421768;solo_04_01;s_dr
193.654421768;231.711927437;theme_02_01;tp,ts,p,b,dr
231.711927437;239.746031745;outro;tp,ts,p,b,dr
239.746031745;243.13333333333333;silence;
