segment_start;segment_end;label;instrument
0.0;0.653061224;silence;
0.653061224;22.726530612;intro;dr,p,b
22.726530612;48.065306122;theme_01_01;tp,ts,p,b,dr
48.065306122;75.493877551;theme_01_02;tp,ts,p,b,dr
75.493877551;102.922448979;theme_01_03;tp,ts,p,b,dr
102.922448979;129.959183673;solo_01_01;s_tp,b_p,b_b,b_dr
129.959183673;156.865306122;solo_01_02;s_tp,b_p,b_b,b_dr
156.865306122;183.118367346;solo_01_03;s_tp,b_p,b_b,b_dr
183.118367346;209.763265306;solo_02_01;s_ts,b_p,b_b,b_dr
209.763265306;237.191836734;solo_02_02;s_ts,b_p,b_b,b_dr
237.191836734;263.183673469;solo_02_03;s_ts,b_p,b_b,b_dr
263.183673469;290.612244897;solo_03_01;s_p,b_b,b_dr
290.612244897;315.036734693;solo_03_02;s_p,b_b,b_dr
315.036734693;340.506122448;solo_03_03;s_p,b_b,b_dr
340.506122448;364.8;solo_04_01;s_dr
364.8;387.787755102;solo_04_02;s_dr
387.787755102;410.514285714;solo_04_03;s_dr
410.514285714;435.330612244;solo_05_01;s_tp,s_ts,b_p,b_b,b_dr
435.330612244;460.669387755;solo_05_02;s_tp,s_ts,b_p,b_b,b_dr
460.669387755;485.224489795;solo_05_03;s_tp,s_ts,b_p,b_b,b_dr
485.224489795;510.824489795;theme_02_01;tp,ts,p,b,dr
510.824489795;534.465306122;theme_02_02;tp,ts,p,b,dr
534.465306122;553.404081632;outro;tp,ts,p,b,dr
553.404081632;558.92;silence;
