segment_start;segment_end;label;instrument
0.0;2.205895691;silence;
2.205895691;57.121088435;theme_01_01;tp,ts,p,b,dr
57.121088435;112.198820861;solo_01_01;s_tp,b_p,b_b,b_dr
112.198820861;167.810612244;solo_01_02;s_tp,b_p,b_b,b_dr
167.810612244;223.81714285700002;solo_02_01;s_ts,b_p,b_b,b_dr
223.81714285700002;280.938231292;solo_03_01;s_p,b_b,b_dr
280.938231292;335.87664399;solo_04_01;s_ts,s_tp,s_dr,b_p,b_b
335.87664399;390.002358276;solo_05_01;s_dr
390.002358276;461.543038548;theme_02_01;tp,ts,p,b,dr
461.543038548;464.30666666666673;silence;
