segment_start;segment_end;label;instrument
0.0;0.255419501;silence;
0.255419501;11.818956916;intro;p,dr
11.818956916;57.79446712;theme_01_01;tp,ts,p,b,dr
57.79446712;105.093514739;solo_01_01;s_ts,b_p,b_b,b_dr
105.093514739;151.672743764;solo_02_01;s_tp,b_p,b_b,b_dr
151.672743764;200.434648526;solo_02_02;s_tp,b_p,b_b,b_dr
200.434648526;248.476734693;solo_03_01;s_p,b_b,b_dr
248.476734693;295.845442176;solo_04_01;s_dr,s_tp,s_p,s_ts,b_b
295.845442176;341.426213151;solo_04_02;s_dr
341.426213151;352.502131519;intro;p,dr
352.502131519;408.299682539;theme_02_01;tp,ts,p,b,dr
408.299682539;417.5866666666666;silence;
