segment_start;segment_end;label;instrument
0.0;0.139319727;silence;
0.139319727;11.029478458;intro;tp,ts,p,b,dr
11.029478458;53.336235826999996;theme_01_01;tp,ts,g,p,b,dr
53.336235826999996;97.314829931;solo_01_01;s_ts,b_p,b_b,b_dr
97.314829931;140.805804988;solo_01_02;s_ts,b_p,b_b,b_dr
140.805804988;184.064580498;solo_02_01;s_tp,b_p,b_b,b_dr
184.064580498;226.464217687;solo_02_02;s_tp,b_ts,b_p,b_b,b_dr
226.464217687;266.634739229;theme_02_01;tp,ts,g,p,b,dr
266.634739229;276.805079365;outro;tp,ts,g,p,b,dr
276.805079365;279.8666666666667;silence;
