region_start;region_end;label;instrument
0.0;0.092879818;silence;
0.092879818;22.569795917;theme_01_01;tp,ss,tb,b,dr
22.569795918;45.603990929;theme_01_02;tp,ss,tb,b,dr
45.603990929;71.424580498;solo_01_01;s_tp,b_b,b_dr
71.33170068;97.523809523;solo_01_02;s_tp,b_b,b_dr
97.523809523;123.158639454;solo_01_03;s_tp,b_b,b_dr
123.158639455;147.586031745;solo_01_04;s_tp,b_ss,b_tb,b_b,b_dr
147.722448979;173.45306122300002;theme_02_01;tp,ss,tb,b,dr
173.453061224;198.530612244;solo_02_01;s_ss,b_b,b_dr
198.53061224400003;223.41224489700002;solo_02_02;s_ss,b_b,b_dr
223.412244897;247.640816325;solo_02_03;s_ss,b_b,b_dr
247.640816326;268.669387754;solo_02_04;s_ss,b_b,b_dr
268.669387755;292.179591836;solo_02_05;s_ss,b_b,b_dr
292.179591836;318.23673469299996;solo_02_06;s_ss,b_b,b_dr
318.236734693;344.751020407;solo_02_07;s_ss,b_b,b_dr
344.75102040800004;371.39591836700004;solo_02_08;s_ss,b_tp,b_tb,b_b,b_dr
371.395918367;395.68979591799996;theme_03_01;tp,ss,tb,b,dr
395.689795918;424.620408162;theme_03_02;tp,ss,tb,b,dr
424.620408162;429.2;silence;
