segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;32.043537414;theme_01_01;as,b,dr
32.043537414;64.458594104;solo_01_01;s_as,b_b,b_dr
64.458594104;97.430929705;solo_01_02;s_as,b_b,b_dr
97.430929705;129.381587301;solo_01_03;s_as,b_b,b_dr
129.381587301;162.818321995;solo_01_04;s_as,b_b,b_dr
162.818321995;194.676099773;solo_01_05;s_as,b_b,b_dr
194.676099773;224.862040816;solo_02_01;s_b,b_dr
224.862040816;254.58358276599998;solo_02_02;s_b,b_dr
254.58358276599998;283.933605442;solo_02_03;s_b,b_as,b_dr
283.933605442;315.048344671;solo_03_01;s_as,b_dr
315.048344671;347.091882086;solo_03_02;s_as,b_b,b_dr
347.091882086;389.630839002;theme_02_01;as,b,dr
389.630839002;395.14666666666665;silence;
