segment_start;segment_end;label;instrument
0.0;1.4367346930000002;silence;
1.4367346930000002;33.567346938;intro;ss,b,dr
33.567346938;66.08979591800001;theme_01_01;ss,b,dr
66.08979591800001;99.134693877;theme_01_02;ss,b,dr
99.134693877;132.17959183600001;theme_01_03;ss,b,dr
132.17959183600001;165.224489795;theme_01_04;ss,b,dr
165.224489795;198.269387755;theme_01_05;ss,b,dr
198.269387755;239.412244897;theme_01_06;ss,b,dr
239.412244897;279.382494331;solo_01_01;s_ss,b_b,b_dr
279.382494331;320.249614512;solo_01_02;s_ss,b_b,b_dr
320.249614512;352.943310657;theme_02_01;ss,b,dr
352.943310657;393.438911564;theme_02_02;ss,b,dr
393.438911564;456.225668933;outro;ss,b,dr
456.225668933;461.4280045351474;silence;
