segment_start;segment_end;label;instrument
0.0;0.653061224;silence;
0.653061224;33.044897959000004;theme_01_01;ss,p,b,dr
33.044897959000004;64.13061224399999;theme_01_02;ss,p,b,dr
64.13061224399999;96.391836734;solo_01_01;s_ss,b_p,b_b,b_dr
96.391836734;127.67346938700001;solo_01_02;s_ss,b_p,b_b,b_dr
127.67346938700001;159.47755102;solo_01_03;s_ss,b_p,b_b,b_dr
159.47755102;191.151020408;solo_01_04;s_ss,b_p,b_b,b_dr
191.151020408;221.58367346900002;solo_01_05;s_ss,b_p,b_b,b_dr
221.58367346900002;252.604081632;solo_01_06;s_ss,b_p,b_b,b_dr
252.604081632;288.914285713;theme_02_01;ss,p,b,dr
288.914285713;295.0;silence;
