segment_start;segment_end;label;instrument
0.0;2.089795918;silence;
2.089795918;10.187755102;intro;dr
10.187755102;41.142857142;theme_01_01;ss,p,b,dr
41.142857142;73.273469387;solo_01_01;s_p,b_b,b_dr
73.273469387;103.967346938;solo_01_02;s_p,b_b,b_dr
103.967346938;134.008163265;solo_01_03;s_p,b_b,b_dr
134.008163265;162.612244897;solo_02_01;s_ss,b_p,b_b,b_dr
162.612244897;196.048979591;solo_02_02;s_ss,b_p,b_b,b_dr
196.048979591;226.220408163;solo_02_03;s_ss,b_p,b_b,b_dr
226.220408163;261.61632653;solo_03_01;s_dr,b_p,b_b
261.61632653;295.836734693;solo_03_02;s_dr
295.836734693;338.67755101899996;theme_02_01;ss,p,b,dr
338.67755101899996;346.7504535147392;silence;
