region_start;region_end;label;instrument
0.0;0.557278911;silence;
0.557278911;32.693696145;theme_01_01;ss,p,b,dr
32.693696145;66.107210884;theme_01_02;ss,p,b,dr
66.107210884;98.382947845;solo_01_01;s_ss,b_p,b_b,b_dr
98.382947845;130.449705215;solo_01_02;s_ss,b_p,b_b,b_dr
130.449705215;162.53968253899998;solo_01_03;s_ss,b_p,b_b,b_dr
162.53968253899998;192.284444444;solo_01_04;s_ss,b_p,b_b,b_dr
192.284444444;222.28462585;solo_01_05;s_ss,b_p,b_b,b_dr
222.28462585;253.00462585;theme_02_01;ss,p,b,dr
253.00462585;294.638004534;theme_02_02;ss,p,b,dr
294.638004534;301.0933333333333;silence;
