region_start;region_end;label;instrument
0.0;0.60371882;silence;
0.60371882;8.870022674;intro;g,b,dr
8.870022675;37.082267572;theme_01_01;g,b,dr
37.082267573;64.853333332;theme_01_02;g,b,dr
64.853333333;90.000544217;solo_01_01;s_g,b_b,b_dr
90.00054421700001;115.58893423900001;solo_01_02;s_g,b_b,b_dr
115.58893424;142.38476190400002;solo_01_03;s_g,b_b,b_dr
142.384761904;168.089251699;solo_02_01;s_b,b_g,b_dr
168.0892517;192.841723355;solo_02_02;s_b,b_g,b_dr
192.841723356;217.71029478399998;theme_02_01;g,b,dr
217.710294784;243.855963718;theme_02_02;g,b,dr
243.855963718;267.168798185;theme_02_03;g,b,dr
267.168798185;284.467664398;outro;g,b,dr
284.467664398;292.0;silence;
