segment_start;segment_end;label;instrument
0.0;0.39183673399999996;silence;
0.39183673399999996;12.636734693;intro;dr
12.636734693;61.61632653;theme_01_01;ts,b,dr
61.61632653;113.469387755;solo_01_01;s_ts,b_b,b_dr
113.469387755;163.232653061;solo_01_02;s_ts,b_b,b_dr
163.232653061;213.35510204;solo_01_03;s_ts,b_b,b_dr
213.35510204;265.208163265;solo_02_01;s_b,b_ts,b_dr
265.208163265;312.718367346;solo_03_01;s_dr
312.718367346;379.559183672;theme_02_01;ts,b,dr
379.559183672;383.87045351473915;silence;
