segment_start;segment_end;label;instrument
0.0;0.928798185;silence;
0.928798185;16.904126984;intro;p
16.904126984;67.802267573;theme_01_01;ts,p
67.802267573;118.328888888;theme_01_02;ts,p
118.328888888;167.555192743;solo_01_01;s_ts,b_p
167.555192743;215.295419501;solo_01_02;s_ts,b_p
215.295419501;259.691972789;solo_01_03;s_ts,b_p
259.691972789;307.80371882;solo_01_04;s_ts,b_p
307.80371882;355.729705215;solo_01_05;s_ts,b_p
355.729705215;400.31201814;solo_02_01;s_p
400.31201814;442.850975056;solo_02_02;s_p
442.850975056;488.362086167;solo_03_01;s_ts,s_p
488.362086167;494.3333333333333;silence;
