segment_start;segment_end;label;instrument
0.0;0.587755102;silence;
0.587755102;10.448979591;intro;dr
10.448979591;59.036734693;theme_01_01;ts1,ts2,p,b,dr
59.036734693;96.914285714;solo_01_01;s_ts1,b_p,b_b,b_dr
96.914285714;134.791836734;solo_01_02;s_ts1,b_p,b_b,b_dr
134.791836734;171.885714285;solo_01_03;s_ts1,b_p,b_b,b_dr
171.885714285;210.024489795;solo_01_04;s_ts1,b_p,b_b,b_dr
210.024489795;246.334693877;solo_02_01;s_ts2,b_p,b_b,b_dr
246.334693877;283.167346938;solo_02_02;s_ts2,b_p,b_b,b_dr
283.167346938;319.47755102;solo_02_03;s_ts2,b_p,b_b,b_dr
319.47755102;355.787755102;solo_02_04;s_ts2,b_p,b_b,b_dr
355.787755102;392.620408163;solo_02_05;s_ts2,b_p,b_b,b_dr
392.620408163;428.146938775;solo_03_01;s_p,b_b,b_dr
428.146938775;465.240816326;solo_03_02;s_p,b_b,b_dr
465.240816326;501.812244897;solo_03_03;s_p,b_b,b_dr
501.812244897;538.122448979;solo_04_01;s_b,b_p,b_dr
538.122448979;573.648979591;solo_04_02;s_b,b_p,b_dr
573.648979591;609.959183673;solo_05_01;s_ts1,s_ts2,s_dr,b_p,b_b
609.959183673;654.106122448;theme_02_01;ts1,ts2,p,b,dr
654.106122448;660.92;silence;
