segment_start;segment_end;label;instrument
0.0;0.371519274;silence;
0.371519274;8.173424036;intro;b,dr
8.173424036;73.9323356;theme_01_01;ts,p,b,dr
73.9323356;138.948208616;solo_01_01;s_ts,b_p,b_b,b_dr
138.948208616;202.849523809;solo_01_02;s_ts,b_p,b_b,b_dr
202.849523809;266.007800453;solo_01_03;s_ts,b_p,b_b,b_dr
266.007800453;331.395192743;solo_02_01;s_p,b_b,b_dr
331.395192743;394.924988662;solo_02_02;s_p,b_b,b_dr
394.924988662;456.968707482;solo_03_01;s_b,b_dr
456.968707482;522.356099772;theme_02_01;ts,p,b,dr
522.356099772;531.6266666666667;silence;
