region_start;region_end;label;instrument
0.0;0.048979590999999996;silence;
0.048979590999999996;4.0;intro;ts
4.0;20.0;theme_01_01;ts,p,b,dr
20.0;35.118367346;theme_01_02;ts,p,b,dr
35.118367346;51.183673469;solo_01_01;s_ts,b_p,b_b,b_dr
51.183673469;66.93877551;solo_01_02;s_ts,b_p,b_b,b_dr
66.93877551;82.808163265;solo_02_01;s_tp,b_p,b_b,b_dr
82.808163265;98.563265306;solo_02_02;s_tp,b_p,b_b,b_dr
98.563265306;114.057142857;solo_03_01;s_tb,b_p,b_b,b_dr
114.057142857;129.861224489;solo_03_02;s_tb,b_p,b_b,b_dr
129.861224489;146.008163265;solo_03_03;s_tb,b_p,b_b,b_dr
146.008163265;161.6;solo_03_04;s_tb,b_p,b_b,b_dr
161.6;178.69387755099999;solo_04_01;s_p,b_b,b_dr
178.69387755099999;194.073469387;theme_02_01;tp,ts,tb,p,b,dr
194.073469387;196.64;silence;
