segment_start;segment_end;label;instrument
0.0;0.457142857;silence;
0.457142857;18.742857142;intro;tp,ts,p,b,dr
18.742857142;32.653061224;theme_01_01;tp,ts,p,b,dr
32.653061224;46.302040816;solo_01_01;s_p,b_b,b_dr
46.302040816;59.951020408;solo_01_02;s_p,b_b,b_dr
59.951020408;74.253061224;solo_02_01;s_ts,b_tp,b_p,b_b,b_dr
74.253061224;88.097959183;solo_04_01;s_tp,b_p,b_b,b_dr
88.097959183;102.13877551;solo_04_02;s_tp,b_p,b_b,b_dr
102.13877551;116.244897959;solo_04_03;s_tp,b_p,b_b,b_dr
116.244897959;130.351020408;solo_04_04;s_tp,b_p,b_b,b_dr
130.351020408;144.587755102;solo_04_05;s_tp,b_p,b_b,b_dr
144.587755102;158.497959183;solo_05_01;s_g,b_p,b_b,b_dr
158.497959183;172.016326529;theme_02_01;tp,ts,p,b,dr
172.016326529;175.66666666666666;silence;
