segment_start;segment_end;label;instrument
0.0;17.879365079;silence;
17.879365079;24.891791383;intro;tp,ts,p,b,dr
24.891791383;68.173786848;theme_01_01;tp,ts,p,b,dr
68.173786848;115.078095238;solo_01_01;s_ts,b_p,b_b,b_dr
115.078095238;157.222312925;solo_01_02;s_ts,b_p,b_b,b_dr
157.222312925;199.018231292;solo_02_01;s_tp,b_p,b_b,b_dr
199.018231292;243.020045351;solo_02_02;s_ts,b_p,b_b,b_dr
243.020045351;289.854693877;solo_03_01;s_p,b_b,b_dr
289.854693877;357.14612244799997;theme_02_01;tp,ts,p,b,dr
357.14612244799997;359.6666666666667;silence;
