region_start;region_end;label;instrument
0.0;1.30031746;silence;
1.30031746;40.867120181000004;theme_01_01;tp,as,p,b,dr
40.936780045;79.96952380900001;solo_01_01;s_tp,b_p,b_b,b_dr
80.039183673;119.652426303;solo_01_02;s_tp,b_p,b_b,b_dr
119.69886621299999;159.613968253;solo_01_03;s_tp,b_p,b_b,b_dr
159.660408163;199.923809523;solo_02_01;s_p,b_b,b_dr
199.993469387;240.256870747;solo_02_02;s_p,b_b,b_dr
240.303310657;281.147210883;solo_03_01;s_as,b_p,b_b,b_dr
281.170430839;321.480272108;solo_03_02;s_as,b_p,b_b,b_dr
321.503492063;361.581133786;solo_03_03;s_as,b_p,b_b,b_dr
361.627573696;408.740861677;theme_02_01;tp,as,p,b,dr
408.740861677;409.3910204081633;silence;
