segment_start;segment_end;label;instrument
0.0;0.065306122;silence;
0.065306122;4.114285714;intro;dr
4.114285714;18.563265306;theme_01_01;tp,as,p,b,dr
18.563265306;33.061224489;theme_01_02;tp,as,p,b,dr
33.061224489;47.444897959;solo_01_01;s_as,b_p,b_b,b_dr
47.444897959;61.746938775;solo_01_02;s_as,b_p,b_b,b_dr
61.746938775;75.983673469;solo_01_03;s_as,b_p,b_b,b_dr
75.983673469;90.269387755;solo_01_04;s_as,b_p,b_b,b_dr
90.269387755;104.489795918;solo_02_01;s_tp,b_p,b_b,b_dr
104.489795918;118.840816326;solo_02_02;s_tp,b_p,b_b,b_dr
118.840816326;133.257142857;solo_02_03;s_tp,b_p,b_b,b_dr
133.257142857;147.885714285;solo_02_04;s_tp,b_p,b_b,b_dr
147.885714285;161.126530612;solo_03_01;s_p,b_b,b_dr
161.126530612;175.085714285;solo_03_02;s_p,b_b,b_dr
175.085714285;189.028571428;solo_03_03;s_p,b_b,b_dr
189.028571428;203.542857142;solo_04_01;s_as,s_tp,b_p,b_b,b_dr
203.542857142;216.832653061;solo_04_02;s_as,s_tp,b_p,b_b,b_dr
216.832653061;231.47755102;solo_05_01;s_dr
231.47755102;244.522448979;solo_05_02;s_dr
244.522448979;258.726530612;theme_02_01;tp,as,p,b,dr
258.726530612;273.205986394;theme_02_02;tp,as,p,b,dr
273.205986394;309.986394557;outro;tp,as,p,b,dr
309.986394557;310.2311337868481;silence;
