region_start;region_end;label;instrument
0.0;0.139319727;silence;
0.139319727;11.192018139;intro;p,bcl,b,dr
11.099138321;56.099410429;theme_01_01;tp,ts,p,bcl,b,dr
56.14585034;100.681723355;solo_01_01;s_ts,b_p,b_b,b_dr
100.681723356;146.564353741;solo_01_02;s_ts,b_p,b_b,b_dr
146.564353741;190.682267573;solo_02_01;s_tp,b_p,b_b,b_dr
190.682267573;235.961179137;solo_02_02;s_tp,b_p,b_b,b_dr
235.961179138;274.041904761;solo_03_01;s_b,b_dr
274.041904761;315.04834467;theme_02_01;tp,ts,p,b,dr
315.048344671;338.779138321;outro;tp,ts,p,b,dr
338.779138321;341.41621315192737;silence;
