region_start;region_end;label;instrument
0.0;0.092879818;silence;
0.092879818;7.058866213;intro;p,b,dr
7.058866213;34.737052154000004;theme_01_01;tp,ts,p,b,dr
34.737052154000004;61.486439909;solo_01_01;s_ts,b_p,b_b,b_dr
61.486439909;87.585668934;solo_01_02;s_ts,b_p,b_b,b_dr
87.585668934;113.12761904700001;solo_02_01;s_tp,b_p,b_b,b_dr
113.12761904700001;138.576689342;solo_02_01;s_tp,b_p,b_b,b_dr
138.576689342;164.861678004;solo_03_01;s_p,b_b,b_dr
164.861678004;189.474829931;solo_04_01;s_tp,s_ts,b_p,b_b,b_dr
189.474829931;217.338775509;theme_02_01;tp,ts,p,b,dr
217.338775509;220.64;silence;
