segment_start;segment_end;label;instrument
0.0;0.464399092;silence;
0.464399092;13.18893424;intro;p,dr
13.18893424;66.107210884;theme_01_01;tp,ts,as,p,b,dr
66.107210884;118.421768707;solo_01_01;s_as,b_p,b_b,b_dr
118.421768707;170.527346938;solo_02_01;s_tp,b_p,b_b,b_dr
170.527346938;223.2830839;solo_03_01;s_ts,b_p,b_b,b_dr
223.2830839;275.574421768;solo_04_01;s_p,b_b,b_dr
275.574421768;316.627301587;theme_02_01;tp,ts,as,p,b,dr
316.627301587;346.62748299199995;outro;tp,ts,as,p,b,dr
346.62748299199995;348.7866666666667;silence;
