segment_start;segment_end;label;instrument
0.0;0.278639455;silence;
0.278639455;18.924263038;theme_01_01;tp,as,p,b,dr
18.924263038;36.896507936;solo_01_01;s_as,b_p,b_b,b_dr
36.896507936;54.810702947;solo_01_02;s_as,b_p,b_b,b_dr
54.810702947;72.423038548;solo_01_03;s_as,b_p,b_b,b_dr
72.423038548;90.099229024;solo_02_01;s_tp,b_p,b_b,b_dr
90.099229024;107.653514739;solo_02_02;s_tp,b_p,b_b,b_dr
107.653514739;124.987210884;solo_03_01;s_p,b_b,b_dr
124.987210884;142.564716553;solo_04_01;s_tp,b_p,b_b,b_dr
142.564716553;160.043537414;solo_04_02;s_tp,b_p,b_b,b_dr
160.043537414;180.16943310500002;theme_02_01;tp,as,p,b,dr
180.16943310500002;182.21333333333334;silence;
