segment_start;segment_end;label;instrument
0.0;0.743038548;silence;
0.743038548;9.148662131;intro;p,b,dr
9.148662131;42.353197278;theme_01_01;as,bs,p,b,dr
42.353197278;75.882811791;theme_01_02;as,bs,p,b,dr
75.882811791;109.551746031;solo_01_01;s_as,b_p,b_b,b_dr
109.551746031;143.081360544;solo_01_02;s_as,b_p,b_b,b_dr
143.081360544;176.518095238;solo_02_01;s_bs,b_p,b_b,b_dr
176.518095238;209.769070294;solo_02_02;s_bs,b_p,b_b,b_dr
209.769070294;243.298684807;solo_03_01;s_p,b_b,b_dr
243.298684807;276.596099773;solo_03_02;s_b,s_p,b_dr
276.596099773;309.847074829;theme_02_01;as,bs,p,b,dr
309.847074829;343.098049885;theme_02_02;as,bs,p,b,dr
343.098049885;348.49333333333334;silence;
