region_start;region_end;label;instrument
0.0;2.043356009;silence;
2.043356009;34.551292516;theme_01_01;ts,bs,p,b,dr
34.551292517;67.244988662;solo_01_01;s_ts,b_p,b_b,b_dr
67.244988662;100.124444444;solo_01_02;s_ts,b_p,b_b,b_dr
100.12444444399999;132.26086167699998;solo_01_03;s_ts,b_p,b_b,b_dr
132.440816326;164.83265306;solo_02_01;s_p,b_b,b_dr
164.571428571;197.224489795;solo_02_02;s_p,b_b,b_dr
197.224489795;229.877551019;solo_03_01;s_bs,b_p,b_b,b_dr
229.87755102;262.530612244;solo_03_02;s_bs,b_p,b_b,b_dr
262.530612244;294.661224488;solo_04_01;s_ts,s_bs,b_p,b_b,b_dr
294.661224489;332.799999999;theme_02_01;ts,bs,p,b,dr
332.799999999;347.8;silence;
