region_start;region_end;label;instrument
0.0;0.293877551;silence;
0.293877551;9.795918367;intro;p,b,dr
9.795918367;47.314285713;theme_01_01;ts,p,b,dr
47.31428571399999;85.648979591;theme_01_02;ts,p,b,dr
85.648979591;123.526530611;solo_01_01;s_ts,b_p,b_b,b_dr
123.526530612;161.63265306;solo_01_02;s_ts,b_p,b_b,b_dr
161.632653061;199.379591836;solo_01_03;s_ts,b_p,b_b,b_dr
199.37959183599997;236.53877550899998;solo_01_04;s_ts,b_p,b_b,b_dr
236.53877551;274.57959183599996;solo_01_05;s_ts,b_p,b_b,b_dr
274.57959183599996;312.65306122299995;solo_02_01;s_p,b_b,b_dr
312.653061224;350.204081632;solo_02_02;s_p,b_b,b_dr
350.204081632;387.787755101;solo_02_03;s_p,b_b,b_dr
387.78775510199995;425.53469387699994;solo_03_01;s_b,b_dr
425.534693877;463.183673468;solo_03_02;s_b,b_dr
463.18367346900004;500.99591836600007;theme_02_01;ts,p,b,dr
500.99591836699994;542.2693877539999;theme_02_02;ts,p,b,dr
542.2693877539999;547.4133333333333;silence;
