region_start;region_end;label;instrument
0.0;0.278639455;silence;
0.278639455;15.696689342;theme_01_01;g,b,dr
15.696689342;29.814421768000003;theme_01_02;g,tp,b,dr
29.814421768000003;43.932154195;solo_01_01;s_tp,b_b,b_dr
43.932154195;59.721723356000005;solo_01_02;s_tp,b_g,b_b,b_dr
59.721723356000005;73.746575963;solo_01_03;s_tp,b_g,b_b,b_dr
73.746575963;86.563990929;solo_01_04;s_tp,b_g,b_b,b_dr
86.563990929;100.681723356;solo_02_01;s_g,b_b,b_dr
100.681723356;114.613696145;solo_02_02;s_g,b_b,b_dr
114.613696145;128.731428571;solo_02_03;s_g,b_b,b_dr
128.731428571;143.406439909;solo_02_04;s_g,b_b,b_dr
143.406439909;157.524172335;solo_02_05;s_g,b_b,b_dr
157.524172335;173.592380952;solo_02_06;s_g,b_b,b_dr
173.592380952;191.703945578;solo_02_07;s_g,s_dr,b_b
191.703945578;207.214875283;theme_02_01;g,b,dr
207.214875283;225.976598639;theme_02_02;g,tp,b,dr
225.976598639;231.53333333333333;silence;
