segment_start;segment_end;label;instrument
0.0;1.175510204;silence;
1.175510204;27.428571428;theme_01_01;tp,ts,p,b,dr
27.428571428;55.902040816;solo_01_01;s_ts,b_p,b_b,b_dr
55.902040816;83.2;solo_01_02;s_ts,b_p,b_b,b_dr
83.2;109.975510204;solo_01_03;s_ts,b_p,b_b,b_dr
109.975510204;137.01224489700002;solo_01_04;s_ts,b_p,b_b,b_dr
137.01224489700002;163.004081632;solo_01_05;s_ts,b_p,b_b,b_dr
163.004081632;189.126530612;solo_01_06;s_ts,b_p,b_b,b_dr
189.126530612;212.89795918299998;solo_01_07;s_ts,b_p,b_b,b_dr
212.89795918299998;236.27755102;solo_02_01;s_p,b_b,b_dr
236.27755102;260.440816326;solo_02_02;s_p,b_b,b_dr
260.440816326;284.865306122;solo_02_03;s_p,b_b,b_dr
284.865306122;311.379591836;solo_02_04;s_p,b_b,b_dr
311.379591836;337.763265306;solo_02_05;s_p,b_b,b_dr
337.763265306;364.53877551;solo_02_06;s_p,b_b,b_dr
364.53877551;389.87755102;solo_02_07;s_p,b_b,b_dr
389.87755102;414.04081632599997;solo_03_01;s_tp,b_p,b_b,b_dr
414.04081632599997;438.46530612199996;solo_03_02;s_tp,b_p,b_b,b_dr
438.46530612199996;462.49795918300003;solo_03_03;s_tp,b_p,b_b,b_dr
462.49795918300003;487.18367346900004;solo_03_04;s_tp,b_p,b_b,b_dr
487.18367346900004;510.824489795;solo_03_05;s_tp,b_p,b_b,b_dr
510.824489795;539.167346938;solo_04_01;s_ts,b_p,b_b,b_dr
539.167346938;565.159183673;solo_04_02;s_ts,b_p,b_b,b_dr
565.159183673;594.082539682;solo_04_03;s_ts,b_p,b_b,b_dr
594.082539682;622.515374149;theme_02_01;tp,ts,p,b,dr
622.515374149;624.4059637188209;silence;
