region_start;region_end;label;instrument
0.0;0.255419501;silence;
0.255419501;30.859319727;theme_01_01;tp,ts,p,b,dr
30.882539681999997;62.43845804899999;solo_01_01;s_tp,b_p,b_b,b_dr
62.461678004;94.76063492;solo_01_02;s_tp,b_p,b_b,b_dr
94.783854875;125.82893424;solo_02_01;s_ts,b_p,b_b,b_dr
125.852154195;156.130975056;solo_02_02;s_ts,b_p,b_b,b_dr
156.154195011;186.64199546400002;solo_02_03;s_ts,b_p,b_b,b_dr
186.66521541900002;216.87437641600002;solo_03_01;s_p,b_b,b_dr
216.897596371;246.66557823;solo_03_02;s_p,b_b,b_dr
246.66557823099998;277.38557823099995;solo_04_01;s_b,b_p,b_dr
277.408798185;307.4554195;solo_05_01;s_dr,s_tp,s_ts,b_b
307.478639455;337.22340135900004;solo_05_02;s_dr,s_tp,s_ts,b_b
337.246621315;382.688072562;theme_02_01;tp,ts,p,b,dr
382.688072562;391.50666666666666;silence;
