segment_start;segment_end;label;instrument
0.0;0.487619047;silence;
0.487619047;12.956734693;intro;tp,ts,p,b,dr
12.956734693;40.91356009;theme_01_01;tp,ts,p,b,dr
40.91356009;68.847165532;theme_01_02;tp,ts,p,b,dr
68.847165532;95.991292517;solo_01_01;s_ts,b_p,b_b,b_dr
95.991292517;123.112199546;solo_01_02;s_ts,b_p,b_b,b_dr
123.112199546;149.977687074;solo_01_03;s_ts,b_p,b_b,b_dr
149.977687074;176.889614512;solo_01_04;s_ts,b_p,b_b,b_dr
176.889614512;204.544580498;solo_01_05;s_ts,b_p,b_b,b_dr
204.544580498;232.431746031;solo_02_01;s_tp,b_p,b_b,b_dr
232.431746031;261.317369614;solo_02_02;s_tp,b_p,b_b,b_dr
261.317369614;287.973877551;solo_02_03;s_tp,b_p,b_b,b_dr
287.973877551;314.816145124;solo_02_04;s_tp,b_p,b_b,b_dr
314.816145124;341.960272108;solo_03_01;s_p,b_b,b_dr
341.960272108;368.361360544;solo_03_02;s_p,b_b,b_dr
368.361360544;395.296507936;solo_03_03;s_p,b_b,b_dr
395.296507936;421.233197278;solo_03_04;s_p,b_b,b_dr
421.233197278;447.425306122;solo_04_01;s_ts,b_p,b_b,b_dr
447.425306122;473.687074829;solo_04_02;s_ts,b_p,b_b,b_dr
473.687074829;501.249160997;theme_02_01;tp,ts,p,b,dr
501.249160997;544.531156461;theme_02_02;tp,ts,p,b,dr
544.531156461;548.4157596371882;silence;
