segment_start;segment_end;label;instrument
0.0;0.441179138;silence;
0.441179138;22.476916099;theme_01_01;tp,ts,p,b,dr
22.476916099;45.023492063;theme_01_02;tp,ts,p,b,dr
45.023492063;66.246530612;solo_01_01;s_tp,b_p,b_b,b_dr
66.246530612;88.003628117;solo_01_02;s_tp,b_p,b_b,b_dr
88.003628117;109.482086167;solo_02_01;s_ts,b_p,b_b,b_dr
109.482086167;131.1230839;solo_02_02;s_ts,b_p,b_b,b_dr
131.1230839;152.346122448;solo_02_03;s_ts,b_p,b_b,b_dr
152.346122448;173.638820861;solo_02_04;s_ts,b_p,b_b,b_dr
173.638820861;194.815419501;solo_02_05;s_ts,b_p,b_b,b_dr
194.815419501;216.131337868;solo_03_01;s_p,b_b,b_dr
216.131337868;237.400816326;solo_03_02;s_p,b_b,b_dr
237.400816326;258.60063492;solo_03_03;s_p,b_b,b_dr
258.60063492;279.637913832;solo_03_04;s_p,b_b,b_dr
279.637913832;301.186031746;solo_04_01;s_b,b_p,b_dr
301.186031746;322.478730158;solo_04_02;s_b,b_p,b_dr
322.478730158;344.259047619;theme_02_01;tp,ts,p,b,dr
344.259047619;373.492970521;theme_02_02;tp,ts,p,b,dr
373.492970521;376.1904535147392;silence;
