region_start;region_end;label;instrument
0.0;0.326530612;silence;
0.326530612;9.142857142;intro;p,b,dr
9.142857142;27.134693876999997;theme_01_01;tp,ts,p,b,dr
27.134693876999997;45.093877551000006;theme_01_02;tp,ts,p,b,dr
45.093877551000006;62.726530612;solo_01_01;s_ts,b_p,b_b,b_dr
62.726530612;79.771428571;solo_01_02;s_ts,b_p,b_b,b_dr
79.771428571;97.502040816;solo_01_03;s_ts,b_p,b_b,b_dr
97.502040816;114.90612244799999;solo_01_04;s_ts,b_p,b_b,b_dr
114.90612244799999;132.473469387;solo_02_01;s_tp,b_p,b_b,b_dr
132.473469387;149.746938775;solo_02_02;s_tp,b_p,b_b,b_dr
149.746938775;167.21632653;solo_02_03;s_tp,b_p,b_b,b_dr
167.21632653;184.032653061;solo_02_04;s_tp,b_p,b_b,b_dr
184.032653061;201.240816326;solo_03_01;s_p,b_b,b_dr
201.240816326;218.612244897;solo_03_02;s_p,b_b,b_dr
218.612244897;235.657142857;solo_03_03;s_p,b_b,b_dr
235.657142857;252.40090702900002;solo_03_04;s_p,b_b,b_dr
252.40090702900002;270.024852607;theme_02_01;tp,ts,p,b,dr
270.024852607;298.09777777700003;theme_02_02;tp,ts,p,b,dr
298.09777777700003;303.2933333333333;silence;
