segment_start;segment_end;label;instrument
0.0;0.232199546;silence;
0.232199546;26.563628116999997;theme_01_01;ts,p,b,dr
26.563628116999997;52.523537413999996;solo_01_01;s_p,b_b,b_dr
52.523537413999996;78.483446712;solo_01_02;s_p,b_b,b_dr
78.483446712;103.793197278;solo_01_03;s_p,b_b,b_dr
103.793197278;129.42802721;solo_01_04;s_p,b_b,b_dr
129.42802721;154.598458049;solo_01_05;s_p,b_b,b_dr
154.598458049;180.186848072;solo_02_01;s_ts,b_p,b_b,b_dr
180.186848072;206.10031746;solo_02_02;s_ts,b_p,b_b,b_dr
206.10031746;231.642267573;solo_02_03;s_ts,b_b,b_dr
231.642267573;256.487619047;solo_02_04;s_ts,b_b,b_dr
256.487619047;282.07600907;solo_02_05;s_ts,b_p,b_b,b_dr
282.07600907;306.967800453;solo_02_06;s_ts,b_p,b_b,b_dr
306.967800453;333.48498866200003;solo_02_07;s_ts,b_p,b_b,b_dr
333.48498866200003;360.095056689;solo_02_08;s_ts,b_p,b_b,b_dr
360.095056689;387.726802721;solo_03_01;s_dr
387.726802721;419.398820861;solo_03_02;s_dr
419.398820861;449.39900226699996;solo_03_03;s_dr
449.39900226699996;473.64063492;solo_04_01;s_ts,s_dr,b_p,b_b
473.64063492;496.999909297;solo_04_02;s_ts,s_dr,b_p,b_b
496.999909297;521.102222222;solo_04_03;s_ts,s_dr,b_p,b_b
521.102222222;545.66893424;theme_02_01;ts,p,b,dr
545.66893424;563.2933333333333;silence;
