segment_start;segment_end;label;instrument
0.0;2.925714285;silence;
2.925714285;41.215419501;theme_01_01;ts,p,b,dr
41.215419501;79.22648526;solo_01_01;s_ts,b_p,b_b,b_dr
79.22648526;117.307210884;solo_01_02;s_ts,b_p,b_b,b_dr
117.307210884;155.480816326;solo_01_03;s_ts,b_p,b_b,b_dr
155.480816326;193.282902494;solo_01_04;s_ts,b_p,b_b,b_dr
193.282902494;230.992108843;solo_01_05;s_ts,b_p,b_b,b_dr
230.992108843;268.631655328;solo_01_06;s_ts,b_p,b_b,b_dr
268.631655328;306.735600907;solo_02_01;s_p,b_b,b_dr
306.735600907;344.885986394;solo_02_02;s_p,b_b,b_dr
344.885986394;382.47909297;solo_02_03;s_p,b_b,b_dr
382.47909297;419.654240362;solo_02_04;s_p,b_b,b_dr
419.654240362;457.247346938;solo_02_05;s_p,b_b,b_dr
457.247346938;493.888435374;solo_03_01;s_ts,b_p,b_b,b_dr
493.888435374;530.970702947;solo_03_02;s_ts,b_p,b_b,b_dr
530.970702947;569.167528344;solo_03_03;s_ts,b_p,b_b,b_dr
569.167528344;607.480453514;solo_03_04;s_ts,b_p,b_b,b_dr
607.480453514;656.5209977310001;outro;ts,p,b,dr
656.5209977310001;672.7333333333333;silence;
