region_start;region_end;label;instrument
0.0;0.975238095;silence;
0.975238095;2.229115646;intro;ss,p,b,dr
2.2523356;42.237097504000005;theme_01_01;ss,p,b,dr
42.26031746;82.384399092;solo_01_01;s_b,b_p,b_dr
82.384399092;120.836643989;solo_02_01;s_p,b_b,b_dr
120.83664399;158.569070293;solo_02_02;s_p,b_b,b_dr
158.569070294;196.278276643;solo_03_01;s_ss,b_p,b_b,b_dr
196.278276643;232.82648525899998;solo_03_02;s_ss,b_p,b_b,b_dr
232.82648526;269.537233559;solo_03_03;s_ss,b_p,b_b,b_dr
269.53723356;303.252607709;solo_04_01;s_dr
303.252607709;342.656870747;theme_02_01;ss,p,b,dr
342.656870747;352.26666666666665;silence;
