region_start;region_end;label;instrument
0.0;0.092879818;silence;
0.092879818;39.404263038;theme_01_01;ts,p,b,dr
39.404263038;78.73886621300001;solo_01_01;s_ts,b_b,b_dr
78.73886621300001;118.514648526;solo_01_02;s_ts,b_b,b_dr
118.514648526;157.756371882;solo_01_03;s_ts,b_b,b_dr
157.756371882;197.183854875;solo_01_04;s_ts,b_b,b_dr
197.183854875;236.564897959;solo_02_01;s_p,b_b,b_dr
236.564897959;275.876281179;solo_02_02;s_p,b_b,b_dr
275.876281179;315.141224489;solo_02_03;s_p,b_b,b_dr
315.141224489;368.477460316;theme_02_01;ss,p,b,dr
368.477460316;373.0;silence;
