region_start;region_end;label;instrument
0.0;0.255419501;silence;
0.255419501;14.535691609;intro;p,b,dr
14.605351472999999;73.30539682400001;theme_01_01;as,p,b,dr
73.37505668899999;134.67573696099998;theme_01_02;as,p,b,dr
134.72217687;194.490340135;solo_01_01;s_tp,b_p,b_b,b_dr
194.536780045;256.417959183;solo_02_01;s_as,b_p,b_b,b_dr
256.464399092;318.229478457;solo_03_01;s_p,b_b,b_dr
318.269387755;379.85306122400004;solo_03_02;s_p,b_b,b_dr
379.885714285;455.020408162;theme_02_01;as,p,b,dr
455.020408162;459.4;silence;
