segment_start;segment_end;label;instrument
0.0;0.255419501;silence;
0.255419501;37.175147392;intro;p,dr,b
37.175147392;82.198639455;theme_01_01;tp,as,as,p,b,dr
82.198639455;126.595192743;solo_01_01;s_as,b_p,b_b,b_dr
126.595192743;170.457687074;solo_01_02;s_as,b_p,b_b,b_dr
170.457687074;215.016780045;solo_01_03;s_as,b_p,b_b,b_dr
215.016780045;259.877732426;solo_01_04;s_as,b_p,b_b,b_dr
259.877732426;304.653061224;solo_02_01;s_tp,b_p,b_b,b_dr
304.653061224;349.208163265;solo_02_02;s_tp,b_p,b_b,b_dr
349.208163265;394.057142857;solo_02_03;s_tp,b_p,b_b,b_dr
394.057142857;438.873469387;solo_03_01;s_as,b_p,b_b,b_dr
438.873469387;483.183673469;solo_03_02;s_as,b_p,b_b,b_dr
483.183673469;528.391836734;solo_03_03;s_as,b_p,b_b,b_dr
528.391836734;573.485714285;solo_04_01;s_p,b_b,b_dr
573.485714285;618.971428571;solo_04_02;s_p,b_b,b_dr
618.971428571;648.914285713;theme_02_01;tp,as,as,p,b,dr
648.914285713;652.4266666666666;silence;
